,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
WT_L1_1,-185.4618180907628,-17.112410460445865,2.3494059934900644,0.2093734363466625,-3.0373291933402173,10.042500329482628,15.52504300764814,-3.4561552078512285,-1.659213602061541,9.5619207466252
WT_L1_2,-179.67837141597045,-14.41199532082343,9.821194200477333,6.883920865043282,0.7325419795219619,2.702007762365267,9.433831360822092,-8.818793438913495,2.388959398138221,6.603679858908473
WT_L1_3,-189.867360511995,-15.368058847964456,-0.7845480786110595,-0.9961616445323151,-2.6469014671251,2.3141262277807444,13.91926636817364,-7.145986152829347,4.817109413759134,10.506442365985762
WT_L1_4,-206.38847632631933,-24.442914100279893,-7.334424331015065,-4.521871465349767,2.7911739134753493,-0.6322592328855989,10.747535200662176,-2.3874369602801533,0.3787965776897096,9.446746928121499
LiY_L1_1,125.63352032693993,-109.64864080988269,56.068837987849086,-96.81413401616473,-75.90471468664006,-38.822724172700205,5.5350432579169215,25.048623079396364,6.784979631045492,1.076399361018736
LiY_L1_2,90.87003795320865,46.301380695240645,105.24504687449853,36.17654627680238,-26.511441891177093,9.660766272444542,15.139753985260297,-52.738721413741224,-34.10496806044536,58.27646062113376
LiY_L1_3,74.07732720735137,18.262318264953066,92.39313671788776,32.86784841884601,8.525963195621909,22.087836085366607,-28.892958623709823,-17.249955472258666,19.064768619597782,-49.24307231533569
LiY_L1_4,17.97012268517087,15.647162324734957,84.67387016116156,26.106411986751713,14.353742338338678,29.855315879984527,-26.25953364286606,61.01583524384147,7.76501512745782,-8.284599111939826
WT_p18_2,-125.67114274532302,1.3748409247868507,19.41397353874507,5.312742509021143,-11.137895726428013,-5.752984035032312,10.121626381407316,-5.726992772036696,4.691246843076805,-7.547015526474352
WT_p18_3,58.56013645489649,109.71395915517284,-31.371333917997106,7.1471720249968165,-47.475863130962495,-43.70616165576196,77.14868046566671,17.191429892733865,-31.15508605972188,-44.960323391810746
WT_p18_4,71.77220647588845,80.40490506658755,-51.313814719108706,-18.785236745889794,-34.42316129840486,-9.10019326752764,-25.40934894552843,-25.847134763130935,95.24884875431705,35.064240423437106
WT_p18_5,16.690615410077527,42.498212563855745,-66.77722154016237,-52.5272730606018,-39.084394765956375,60.753043584547214,-71.52427188393963,2.7661541892614037,-66.6076532067721,5.925144550225982
WT_p18_6,-53.44278696583364,16.50978774222387,-15.157221257938696,-3.7673368408668013,4.064702745155405,-14.826125167847842,-26.556005925477912,19.486293506963804,13.92785297419333,-22.727664997505105
WT_p18_7,-73.87043542536098,18.11499020606681,-13.27105813661882,-10.113809708903108,-10.687449102160539,2.5568458241761283,-13.228724245263951,16.70407320682683,5.071963160650943,-15.910351844278146
LiY_p18_1,129.64256601209868,-12.2705921068287,-22.488734545583075,-42.565058372896665,47.546229312483,97.95535558329888,72.68397006956772,20.17116059724653,21.96609756742327,4.272164475411739
LiY_p18_2,109.9864435414643,-93.97660399221438,-76.15743748086597,130.3471564226911,-54.82588464068506,18.03750151842164,-0.3176562604561566,6.192577363686596,2.855212500413583,-2.3462848595525556
LiY_p18_3,64.54426252472784,22.13348469452718,-10.835183261139374,24.700375336807706,55.81100940697996,-54.04742211809735,-11.785446265108705,73.94198544872448,-14.028027533871155,59.39536042804097
LiY_p18_4,72.36480403364666,-21.999393767787495,-17.953533126672674,-7.403517845717119,48.109300427871204,-34.95125976474607,-15.750115380486271,-25.18114945571726,-3.6330789648258546,-19.440438959774077
LiY_p18_5,48.16684314237408,-9.480601147931944,-2.218166722843026,-3.6620902824053583,40.421754099911205,-17.26486412906261,-19.98025296839332,-30.512086578843714,-2.1173771817453932,-40.02604254300909
LiY_p18_6,54.736500593180544,-15.848332635690735,-22.53395457018079,-8.930678671610696,46.822966894236075,-18.172594207231974,-3.1042185690564916,-14.974121905334611,-9.68814421712167,-13.50359889321896
LiY_p18_7,79.3650051205397,-36.40149844829989,-31.768833785372703,-19.664378622368712,36.555651589284956,-18.688711316974672,12.553782613161742,-48.47959840774399,-21.96730174119818,23.860832683989376
